section,id,name,msx,md_suggested,w_tiles,h_tiles,palette,max_colors,anim_frames,file,notes
A,playfield,Playfield pixels,256×192 (SCREEN2),Original 256×224; Zanac MD 320×224,,,—,MSX 16 TMS; MD 64 from 512,,,mode.c ModeAssets.playfield_w/h. VDP_setScreenWidth256 / 320. NTSC height always 224 (SGDK).
A,nametable,Visible tile cells,32×24 = 768,H32 32×28; H40 40×28,,,PAL3 BG,,,,MSX name table VRAM 0x3800. MD planes A/B. Port paints BG_B.
A,tile_format,Tile format,"8×8, 1bpp + separate color byte/row (2 colors/row)","8×8, 4bpp, 32 B/tile (TILE_SIZE=32)",,,1 of 4 CRAM pals,16 per tile,,,MSX SCREEN2 3 pattern banks; Zanac loads the same 256 tiles into all 3.
A,tile_count,Unique BG tiles,256 charset (confirmed decompress),MAY 512-1024 user tiles (safe). Hardware ~TILE_SPACE/32 ≈ 1536 before maps (SGDK maps_addr).,,,2-3 pals,16 each,,res/charset_tiles.bin,"charset_tiles.bin 8192 B = 256×32. TILE_USER_INDEX=16, FONT_LEN=96, BG_TILE_BASE=TILE_USER_INDEX+32. Sprite engine eats tiles from the top."
A,cram,On-screen colors,16 fixed TMS9918,4 palettes × 16 = 64; each color 9-bit (512),,,PAL0-3,64,,,"Port now: PAL0 text, PAL1 highlight/objs, PAL2 ship, PAL3 TMS charset (map_script.c s_tms_pal)."
A,sprite_hw,Sprite hardware,"32 sprites, 4/line, 16×16 1-bit + 1 color, optional complement","80 sprites (SAT_MAX_SIZE), 16/line H32 / 20/line H40, 8×8-32×32 (1-4 tiles), 4bpp",1-4,1-4,1 of 4,15+transparent,,,SGDK SPRITE w h in tiles. Sprite color 0 = transparent. Fold MSX complements into one sprite.
A,sprite_patterns,Unique sprite patterns,"64 (pats 0-63), 32 B each, VRAM 0x1800-0x1FFF = 2048 B",As many frames as VRAM sprite tiles allow (budget ~200-400 sprite tiles),2,2,,,64 unique MSX,res/sprites/ship.png + objs.png,ship.png 16×16 (pat 14). objs.png 208×16 = 13 frames pats 10/22/24/30/53/1/7/28/11/12/3/9/2.
A,sprite_line,Per-scanline budget,4 sprites (5th dropped),H32: 16 sprites / 256 px; H40: 20 / 320 px,,,,,,,MSX complement sprites burn the 4/line cap. MD folding frees line budget.
A,entity_slots,Simultaneous objects,26 entity slots × 32 B; 32 SAT entries,Port: 4 shot + 24 enemy + 1 ship sprites (software). HW max 80.,,,,,,,Slots 0-4 player/shots/fire; 5-25 enemies. Type 39 complement/col-marker included.
A,audio,Audio,"AY-3-8910: 3 square + noise, 27 events / 51 voices",YM2612 6 FM (ch6=DAC) + SN76489 3 square + noise. Original = PSG interpreter of the 27 MSX events (Z80_DRIVER_NULL).,,,,,27 events,res/sound_blob.bin 2013 B,Zanac MD MAY use SGDK XGM (4 PCM @14 kHz) or XGM2 (3 PCM @13.3/6.65 kHz) or WAV PCM. Cannot mix XGM driver with the current NULL+PSG interpreter on the same Z80.
A,safe_budget,Safe Zanac MD art budget,256 tiles + 64 sprites + 1 pal effectively,"BG 512-1024 tiles, 2-3 palettes; sprites 2x2 default (3x3/4x4 for large); 1 pal player, 1 pal enemies, 1 pal BG, PAL0 font",,,"PAL0 font, PAL1 player/items, PAL2 enemies, PAL3 BG",,,,"Stay under ~1500 total VRAM tiles including font+sprites. 1024 BG + 300 sprite + 96 font is the ceiling to test, not the opening bid. Start at 512 BG."
B_pattern,0,empty,pat 0 16x16 1-bit,skip,,,—,,1,,All-zero pattern. SAT terminator / invisible slots. Do not draw.
B_pattern,1,power_chip,pat 1 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/item.png,Weapon-upgrade pickup. Type 83 also uses SAT 0x04 = pat 1 (black/EC). Type 63 handler does not LD a SAT name (likely inherits pat 1; not confirmed in handler).
B_pattern,2,comet,pat 2 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/fx.png,Named in sprite-names. No entity type in entity-sprite-mapping uses this pattern. Port extracts it as objs.png frame 12. Entity use: unknown.
B_pattern,3,target,pat 3 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/fire.png,"Fire weapon 0 All-Range Cannon. Type 3, +0x0C=0x03. Color cycles 0x80-0x8F (all 16 TMS colors)."
B_pattern,4,snowflake,pat 4 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/fire.png,Fire 3 Circular and fire 4 Vibrator. Type 3.
B_pattern,5,small_star,pat 5 16x16 1-bit,"1x1 tiles (8x8 px), 4bpp",1,1,PAL1,15+trans,1,res/md/sprites/fx.png,Named in sprite-names. No confirmed entity type. Entity use: unknown.
B_pattern,6,light_bar,pat 6 16x16 1-bit,"2x1 tiles (16x8 px), 4bpp",2,1,PAL2,15+trans,1,res/md/sprites/projectile.png,Types 21 (color 0x84/0x85) and 45 (white 0x8F). Ground-guns 48/49/52-55 spawn type 21.
B_pattern,7,lead,pat 7 16x16 1-bit,"1x1 tiles (8x8 px), 4bpp",1,1,PAL2,15+trans,1,res/md/sprites/projectile.png,"Small bullet. Types 20, 37, 38, 41, 42/43 (init), 69, 75. Death/orb anims also use it as frame 0 of a pulse."
B_pattern,8,medium_circle,pat 8 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/projectile.png,Type 67. Type 35/60/72 anim mid-frame. Type 73 probe uses pat 8 transparent.
B_pattern,9,large_circle,pat 9 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/projectile.png,Fire expire / type 19 first frame. Type 72 orb. Types 82/87 likely. Peak of pulse anims.
B_pattern,10,shot_single,pat 10 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/shot.png,Player shot levels 0-1. SAT_NAME 0x28 from shot_power_table. Type 2. Type 11 init also writes 0x28.
B_pattern,11,shot_double,pat 11 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/shot.png,Player shot levels 2-3. SAT_NAME 0x2C.
B_pattern,12,shot_triple,pat 12 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/shot.png,Player shot levels 4-5. SAT_NAME 0x30.
B_pattern,13,super_hard_bolt,pat 13 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/enemy.png,"Type 36 flashing: SAT 0x34, color XOR 0x0E each frame, slow descent."
B_pattern,14,player_ship,pat 14 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/player.png,"Type 1, SAT 0x38, color 0x8F normal / 0x81 invincible flash (~64 frames). Port: res/sprites/ship.png 16x16. Zanac MD MAY use 3x3 or 4x4."
B_pattern,15,player_ship_compl,pat 15 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement of pat 14. Extract script: unused. Fold into player_ship on MD (4bpp). Do not ship a second sprite.
